County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Bronx,10453,X824,Public School,No,16.0,0.0,16.0,0.0,"(40.846755, -73.918314)"
Bronx,10453,X826,Public School,No,99.0,0.0,99.0,0.0,"(40.855822, -73.916076)"
Bronx,10453,X980,Public School,No,11.0,0.0,11.0,0.0,"(40.84791, -73.913021)"
Bronx,10454,X040,Public School,No,144.0,0.0,144.0,0.0,"(40.809080, -73.919773)"
Bronx,10454,X043,Public School,No,108.0,0.0,108.0,0.0,"(40.806452, -73.921593)"
Bronx,10454,X049,Public School,No,152.0,0.0,152.0,0.0,"(40.810413, -73.92273)"
Bronx,10454,X139,Public School,No,100.0,0.0,100.0,0.0,"(40.810314, -73.918774)"
Bronx,10454,X149,Public School,No,59.0,0.0,59.0,0.0,"(40.813612, -73.920851)"
Bronx,10454,X154,Public School,No,113.0,0.0,113.0,0.0,"(40.808194, -73.925459)"
Bronx,10454,X354,Public School,No,34.0,0.0,34.0,0.0,"(40.806208, -73.92598)"
Bronx,10454,X855,Public School,No,26.0,0.0,26.0,0.0,"(40.807422, -73.916227)"
Bronx,10455,X005,Public School,No,151.0,0.0,151.0,0.0,"(40.813896, -73.908358)"
Bronx,10455,X025,Public School,No,52.0,0.0,52.0,0.0,"(40.812895, -73.905751)"
Bronx,10455,X027,Public School,No,47.0,0.0,47.0,0.0,"(40.813385, -73.913872)"
Bronx,10455,X062,Public School,No,89.0,0.0,89.0,0.0,"(40.813736, -73.900161)"
Bronx,10455,X130,Public School,No,106.0,0.0,106.0,0.0,"(40.817742, -73.901709)"
Bronx,10455,X155,Public School,No,124.0,0.0,124.0,0.0,"(40.811051, -73.909363)"
Bronx,10455,X161,Public School,No,167.0,0.0,167.0,0.0,"(40.814168, -73.905233)"
Bronx,10455,X162,Public School,No,126.0,0.0,126.0,0.0,"(40.814857, -73.912038)"
Bronx,10455,X470,Public School,No,78.0,0.0,78.0,0.0,"(40.818041, -73.911633)"
Bronx,10455,X655,Public School,No,91.0,0.0,91.0,0.0,"(40.810671, -73.907528)"
Bronx,10456,X022,Public School,No,83.0,0.0,83.0,0.0,"(40.832022, -73.914350)"
Bronx,10456,X055,Public School,No,116.0,0.0,116.0,0.0,"(40.835934, -73.90497)"
Bronx,10456,X063,Public School,No,96.0,0.0,96.0,0.0,"(40.83093, -73.901859)"
Bronx,10456,X090,Public School,No,94.0,0.0,94.0,0.0,"(40.831873, -73.917526)"
Bronx,10456,X110,Public School,No,119.0,0.0,119.0,0.0,"(40.834470, -73.900654)"
Bronx,10456,X120,Public School,No,56.0,0.0,56.0,0.0,"(40.822291, -73.906739)"
Bronx,10456,X132,Public School,No,147.0,0.0,147.0,0.0,"(40.832175, -73.907133)"
Bronx,10456,X140,Public School,No,134.0,0.0,134.0,0.0,"(40.823318, -73.907489)"
Bronx,10456,X145,Public School,No,127.0,0.0,127.0,0.0,"(40.827438, -73.914067)"
Bronx,10456,X146,Public School,No,124.0,0.0,124.0,0.0,"(40.824717, -73.905734)"
Bronx,10456,X148,Public School,No,110.0,0.0,110.0,0.0,"(40.833493, -73.903951)"
Bronx,10456,X157,Public School,No,127.0,0.0,127.0,0.0,"(40.819419, -73.908965)"
Bronx,10456,X158,Public School,No,172.0,0.0,172.0,0.0,"(40.826933, -73.900593)"
Bronx,10456,X166,Public School,No,120.0,0.0,120.0,0.0,"(40.828009, -73.917705)"
Bronx,10456,X184,Public School,No,169.0,0.0,169.0,0.0,"(40.818703, -73.905389)"
Bronx,10456,X198,Public School,No,134.0,0.0,134.0,0.0,"(40.828406, -73.900121)"
Bronx,10456,X400,Public School,No,123.0,0.0,123.0,0.0,"(40.827455, -73.903920)"
Bronx,10456,X650,Public School,No,109.0,0.0,109.0,0.0,"(40.821723, -73.902892)"
Bronx,10456,X851,Public School,No,18.0,0.0,18.0,0.0,"(40.832648, -73.911906)"
Bronx,10456,X890,Public School,No,10.0,0.0,10.0,0.0,"(40.831873, -73.917526)"
Bronx,10456,X961,Public School,No,8.0,0.0,8.0,0.0,"(40.827455, -73.90392)"
Bronx,10457,X003,Public School,No,130.0,0.0,130.0,0.0,"(40.850131, -73.891630)"
Bronx,10457,X004,Public School,No,80.0,0.0,80.0,0.0,"(40.841758, -73.897943)"
Bronx,10457,X023,Public School,No,122.0,0.0,122.0,0.0,"(40.853294, -73.894951)"
Bronx,10457,X028,Public School,No,71.0,0.0,71.0,0.0,"(40.848344, -73.903821)"
Bronx,10457,X042,Public School,No,63.0,0.0,63.0,0.0,"(40.838636, -73.903243)"
Bronx,10457,X044,Public School,No,79.0,0.0,79.0,0.0,"(40.842564, -73.891086)"
Bronx,10457,X057,Public School,No,67.0,0.0,67.0,0.0,"(40.848748, -73.888987)"
Bronx,10457,X059,Public School,No,47.0,0.0,47.0,0.0,"(40.853141, -73.893639)"
Bronx,10457,X070,Public School,No,93.0,0.0,93.0,0.0,"(40.844236, -73.90807)"
