County,Zip,School,Type of Organization,Any Building with Lead-Free Plumbing?,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,Results ≤ 15 ppb,County Location
Nassau,11568,THE WHEATLEY SCHOOL,Public School,No,41.0,7.0,41.0,7.0,"(40.715749, -73.601185)"
Nassau,11568,WESTBURY HIGH SCHOOL,Public School,No,56.0,1.0,56.0,1.0,"(40.715749, -73.601185)"
Nassau,11570,HEWITT SCHOOL,Public School,No,41.0,1.0,41.0,1.0,"(40.715749, -73.601185)"
Nassau,11570,RIVERSIDE SCHOOL,Public School,No,30.0,2.0,30.0,2.0,"(40.715749, -73.601185)"
Nassau,11570,SOUTH SIDE MIDDLE SCHOOL,Public School,No,71.0,13.0,71.0,13.0,"(40.715749, -73.601185)"
Nassau,11570,SOUTH SIDE S H S,Public School,No,210.0,24.0,210.0,24.0,"(40.715749, -73.601185)"
Nassau,11570,WILSON SCHOOL,Public School,No,25.0,2.0,25.0,2.0,"(40.715749, -73.601185)"
Nassau,11572,BOARDMAN ELEM SCHOOL,Public School,No,56.0,0.0,56.0,0.0,"(40.715749, -73.601185)"
Nassau,11572,OCEANSIDE S H S,Public School,No,132.0,6.0,132.0,6.0,"(40.715749, -73.601185)"
Nassau,11572,SCHOOL 2,Public School,No,86.0,12.0,86.0,12.0,"(40.715749, -73.601185)"
Nassau,11572,SCHOOL 3,Public School,No,79.0,1.0,79.0,1.0,"(40.715749, -73.601185)"
Nassau,11572,SCHOOL 4,Public School,No,59.0,0.0,59.0,0.0,"(40.715749, -73.601185)"
Nassau,11572,SCHOOL 5,Public School,No,82.0,1.0,82.0,1.0,"(40.715749, -73.601185)"
Nassau,11572,SCHOOL 6,Public School,No,185.0,3.0,185.0,3.0,"(40.715749, -73.601185)"
Nassau,11572,SCHOOL 8,Public School,No,93.0,1.0,93.0,1.0,"(40.715749, -73.601185)"
Nassau,11572,WALTER S BOARDMAN J H S,Public School,No,151.0,0.0,151.0,0.0,"(40.715749, -73.601185)"
Nassau,11575,CENTENNIAL AVENUE SCHOOL,Public School,No,76.0,8.0,76.0,8.0,"(40.715749, -73.601185)"
Nassau,11575,ROOSEVELT HIGH SCHOOL,Public School,No,74.0,1.0,74.0,1.0,"(40.715749, -73.601185)"
Nassau,11575,ROOSEVELT MIDDLE SCHOOL,Public School,No,104.0,12.0,104.0,12.0,"(40.715749, -73.601185)"
Nassau,11575,ULYSSES BYAS SCHOOL,Public School,No,57.0,3.0,57.0,3.0,"(40.715749, -73.601185)"
Nassau,11575,WASHINGTON ROSE SCHOOL,Public School,No,96.0,5.0,96.0,5.0,"(40.715749, -73.601185)"
Nassau,11576,ROSLYN HEIGHTS ELEM SCHOOL,Public School,No,67.0,1.0,67.0,1.0,"(40.715749, -73.601185)"
Nassau,11577,ROSLYN H S,Public School,No,93.0,0.0,93.0,0.0,"(40.715749, -73.601185)"
Nassau,11577,ROSLYN J H S,Public School,No,65.0,0.0,65.0,0.0,"(40.715749, -73.601185)"
Nassau,11577,WILLETS ROAD SCHOOL,Public School,No,40.0,6.0,40.0,6.0,"(40.715749, -73.601185)"
Nassau,11580,ALDEN TERRACE SCHOOL,Public School,No,14.0,0.0,14.0,0.0,"(40.715749, -73.601185)"
Nassau,11580,CENTRAL H S,Public School,No,39.0,5.0,39.0,5.0,"(40.715749, -73.601185)"
Nassau,11580,CLEARSTREAM AVENUE SCHOOL,Public School,No,22.0,0.0,22.0,0.0,"(40.715749, -73.601185)"
Nassau,11580,HOWELL ROAD SCHOOL,Public School,No,46.0,4.0,46.0,4.0,"(40.715749, -73.601185)"
Nassau,11580,JAMES A. DEVER SCHOOL,Public School,No,29.0,2.0,29.0,2.0,"(40.715749, -73.601185)"
Nassau,11580,MEMORIAL J H S,Public School,No,88.0,2.0,88.0,2.0,"(40.715749, -73.601185)"
Nassau,11580,SHAW AVENUE SCHOOL,Public School,No,67.0,0.0,67.0,0.0,"(40.715749, -73.601185)"
Nassau,11581,FOREST ROAD SCHOOL,Public School,No,47.0,1.0,47.0,1.0,"(40.715749, -73.601185)"
Nassau,11581,OGDEN ELEM SCHOOL,Public School,No,55.0,1.0,55.0,1.0,"(40.715749, -73.601185)"
Nassau,11581,ROBERT W CARBONARO SCHOOL,Public School,No,19.0,12.0,19.0,12.0,"(40.715749, -73.601185)"
Nassau,11581,WILLIAM L BUCK SCHOOL,Public School,No,8.0,8.0,8.0,8.0,"(40.715749, -73.601185)"
Nassau,11582,VALLEY STREAM SOUTH HIGH SCHOOL,Public School,No,35.0,6.0,35.0,6.0,"(40.715749, -73.601185)"
Nassau,11590,(LEAD ONLY) NASSAU BOCES CAREER PREPATORY HS,BOCES School,No,21.0,0.0,21.0,0.0,"(40.715749, -73.601185)"
Nassau,11590,BOWLING GREEN SCHOOL,Public School,No,146.0,4.0,146.0,4.0,"(40.715749, -73.601185)"
Nassau,11590,CLARKE MS,Public School,No,40.0,6.0,40.0,6.0,"(40.715749, -73.601185)"
Nassau,11590,DREXEL SCHOOL,Public School,No,55.0,3.0,55.0,3.0,"(40.715749, -73.601185)"
Nassau,11590,DRYDEN STREET SCHOOL,Public School,No,36.0,2.0,36.0,2.0,"(40.715749, -73.601185)"
Nassau,11590,PARK SCHOOL,Public School,No,96.0,2.0,96.0,2.0,"(40.715749, -73.601185)"
Nassau,11590,POWELLS LANE SCHOOL,Public School,No,50.0,4.0,50.0,4.0,"(40.715749, -73.601185)"
Nassau,11590,W TRESPER CLARKE H S,Public School,No,95.0,9.0,95.0,9.0,"(40.715749, -73.601185)"
Nassau,11590,WESTBURY MIDDLE SCHOOL,Public School,No,49.0,8.0,49.0,8.0,"(40.715749, -73.601185)"
Nassau,11596,CENTER STREET SCHOOL,Public School,No,100.0,2.0,100.0,2.0,"(40.715749, -73.601185)"
Nassau,11596,NORTH SIDE SCHOOL,Public School,No,65.0,1.0,65.0,1.0,"(40.715749, -73.601185)"
Nassau,11598,(LEAD ONLY) WOODMERE EDUCATIONAL CENTER,Public School,No,30.0,0.0,30.0,0.0,"(40.715749, -73.601185)"
Nassau,11696,LAWRENCE PRIMARY SCHOOL 2,Public School,No,22.0,25.0,22.0,25.0,"(40.715749, -73.601185)"
Nassau,11709,BAYVILLE INTERMEDIATE SCHOOL,Public School,No,52.0,7.0,52.0,7.0,"(40.715749, -73.601185)"
Nassau,11709,BAYVILLE PRIMARY SCHOOL,Public School,No,41.0,9.0,41.0,9.0,"(40.715749, -73.601185)"
Nassau,11710,(LEAD ONLY) JACOB GUNTHER ELEMENTARY,Public School,No,22.0,11.0,22.0,11.0,"(40.715749, -73.601185)"
Nassau,11710,(LEAD ONLY) NASSAU BOCES JERUSALEM,BOCES School,No,110.0,3.0,110.0,3.0,"(40.715749, -73.601185)"
Nassau,11710,JOHN G DINKELMEYER SCHOOL,Public School,No,44.0,0.0,44.0,0.0,"(40.715749, -73.601185)"
Nassau,11710,SAW MILL ROAD SCHOOL,Public School,No,94.0,0.0,94.0,0.0,"(40.715749, -73.601185)"
Nassau,11714,BETHPAGE S H S,Public School,No,82.0,9.0,82.0,9.0,"(40.715749, -73.601185)"
Nassau,11714,CHARLES CAMPAGNE SCHOOL,Public School,No,34.0,2.0,34.0,2.0,"(40.715749, -73.601185)"
Nassau,11714,JOHN F KENNEDY J H S,Public School,No,50.0,4.0,50.0,4.0,"(40.715749, -73.601185)"
Nassau,11714,JOHN H WEST SCHOOL,Public School,No,68.0,0.0,68.0,0.0,"(40.715749, -73.601185)"
Nassau,11714,PLAINEDGE MIDDLE SCHOOL,Public School,No,105.0,7.0,105.0,7.0,"(40.715749, -73.601185)"
Nassau,11735,FARMINGDALE HIGH SCHOOL,Public School,No,152.0,2.0,152.0,2.0,"(40.715749, -73.601185)"
Nassau,11735,HOWITT J H S,Public School,No,153.0,6.0,153.0,6.0,"(40.715749, -73.601185)"
Nassau,11735,NORTHSIDE ELEM SCHOOL,Public School,No,142.0,5.0,142.0,5.0,"(40.715749, -73.601185)"
Nassau,11735,SALTZMAN EAST MEMORIAL ELEM SCHOOL,Public School,No,91.0,4.0,91.0,4.0,"(40.715749, -73.601185)"
Nassau,11735,WOODWARD PARKWAY SCHOOL,Public School,No,220.0,9.0,220.0,9.0,"(40.715749, -73.601185)"
Nassau,11743,(LEAD ONLY) NASSAU BOCES CAUMSETT STATE PARK SUMMER COTTAGE,BOCES School,No,4.0,0.0,4.0,0.0,"(40.715749, -73.601185)"
Nassau,11753,CANTIAGUE ELEM SCHOOL,Public School,No,101.0,1.0,101.0,1.0,"(40.715749, -73.601185)"
Nassau,11753,GEORGE A JACKSON SCHOOL,Public School,No,50.0,1.0,50.0,1.0,"(40.715749, -73.601185)"
Nassau,11756,ABBEY LANE SCHOOL,Public School,No,83.0,9.0,83.0,9.0,"(40.715749, -73.601185)"
Nassau,11756,DIVISION AVENUE S H S,Public School,No,103.0,26.0,103.0,26.0,"(40.715749, -73.601185)"
Nassau,11756,GARDINERS AVENUE SCHOOL,Public School,No,83.0,8.0,83.0,8.0,"(40.715749, -73.601185)"
Nassau,11756,GEN DOUGLAS MACARTHUR S H S,Public School,No,82.0,12.0,82.0,12.0,"(40.715749, -73.601185)"
Nassau,11756,JONAS E SALK J H S,Public School,No,80.0,1.0,80.0,1.0,"(40.715749, -73.601185)"
Nassau,11756,NORTHSIDE SCHOOL,Public School,No,78.0,8.0,78.0,8.0,"(40.715749, -73.601185)"
Nassau,11756,SUMMIT LANE SCHOOL,Public School,No,88.0,11.0,88.0,11.0,"(40.715749, -73.601185)"
Nassau,11756,WISDOM LANE MIDDLE SCHOOL,Public School,No,77.0,13.0,77.0,13.0,"(40.715749, -73.601185)"
Nassau,11758,A. G. BERNER MIDDLE SCHOOL,Public School,No,79.0,5.0,79.0,5.0,"(40.715749, -73.601185)"
Nassau,11758,ALBANY AVENUE ELEM SCHOOL,Public School,No,170.0,13.0,170.0,13.0,"(40.715749, -73.601185)"
Nassau,11758,CHARLES E SCHWARTING SCHOOL,Public School,No,96.0,0.0,96.0,0.0,"(40.715749, -73.601185)"
Nassau,11758,EASTPLAIN SCHOOL,Public School,No,45.0,0.0,45.0,0.0,"(40.715749, -73.601185)"
Nassau,11758,FAIRFIELD ELEM SCHOOL,Public School,No,93.0,2.0,93.0,2.0,"(40.715749, -73.601185)"
Nassau,11758,LOCKHART ELEM SCHOOL,Public School,No,69.0,6.0,69.0,6.0,"(40.715749, -73.601185)"
Nassau,11758,MASSAPEQUA H S,Public School,No,125.0,2.0,125.0,2.0,"(40.715749, -73.601185)"
Nassau,11758,MHS AMES CAMPUS,Public School,No,32.0,2.0,32.0,2.0,"(40.715749, -73.601185)"
Nassau,11758,PLAINEDGE S H S,Public School,No,76.0,6.0,76.0,6.0,"(40.715749, -73.601185)"
Nassau,11758,UNQUA ELEM SCHOOL,Public School,No,83.0,7.0,83.0,7.0,"(40.715749, -73.601185)"
Nassau,11762,(LEAD ONLY) NASSAU BOCES CARMAN ROAD SCHOOL,BOCES School,No,65.0,1.0,65.0,1.0,"(40.715749, -73.601185)"
Nassau,11762,BIRCH LANE ELEM SCHOOL,Public School,No,118.0,11.0,118.0,11.0,"(40.715749, -73.601185)"
Nassau,11762,EAST LAKE ELEM SCHOOL,Public School,No,70.0,6.0,70.0,6.0,"(40.715749, -73.601185)"
Nassau,11762,MCKENNA ES,Public School,No,62.0,3.0,62.0,3.0,"(40.715749, -73.601185)"
Nassau,11771,OYSTER BAY S H S,Public School,No,47.0,4.0,47.0,4.0,"(40.715749, -73.601185)"
Nassau,11771,THEODORE ROOSEVELT SCHOOL,Public School,No,32.0,4.0,32.0,4.0,"(40.715749, -73.601185)"
Nassau,11771,VERNON SCHOOL,Public School,No,70.0,2.0,70.0,2.0,"(40.715749, -73.601185)"
Nassau,11783,CENTRAL BLVD ELEM SCHOOL,Public School,No,73.0,6.0,73.0,6.0,"(40.715749, -73.601185)"
Nassau,11783,EAST BROADWAY SCHOOL,Public School,No,88.0,2.0,88.0,2.0,"(40.715749, -73.601185)"
Nassau,11783,SEAFORD MANOR SCHOOL,Public School,No,35.0,4.0,35.0,4.0,"(40.715749, -73.601185)"
Nassau,11783,SEAFORD MIDDLE SCHOOL,Public School,No,60.0,8.0,60.0,8.0,"(40.715749, -73.601185)"
Nassau,11783,SEAFORD S H S,Public School,No,68.0,8.0,68.0,8.0,"(40.715749, -73.601185)"
Nassau,11791,(LEAD ONLY) NASSAU BOCES LONG ISLAND HS FOR THE ARTS BLDG B,BOCES School,No,4.0,1.0,4.0,1.0,"(40.715749, -73.601185)"
Nassau,11791,ALICE P WILLITS SCHOOL,Public School,No,53.0,1.0,53.0,1.0,"(40.715749, -73.601185)"
Nassau,11791,BAYLIS SCHOOL,Public School,No,50.0,3.0,50.0,3.0,"(40.715749, -73.601185)"
Nassau,11791,BERRY HILL SCHOOL,Public School,No,56.0,2.0,56.0,2.0,"(40.715749, -73.601185)"
Nassau,11791,HARRY B THOMPSON MIDDLE SCHOOL,Public School,No,100.0,21.0,100.0,21.0,"(40.715749, -73.601185)"
Nassau,11791,ROBBINS LANE SCHOOL,Public School,No,77.0,1.0,77.0,1.0,"(40.715749, -73.601185)"
Nassau,11791,SOUTH GROVE SCHOOL,Public School,No,88.0,0.0,88.0,0.0,"(40.715749, -73.601185)"
Nassau,11791,SOUTH WOODS J H S,Public School,No,81.0,2.0,81.0,2.0,"(40.715749, -73.601185)"
Nassau,11791,SYOSSET S H S,Public School,No,145.0,23.0,145.0,23.0,"(40.715749, -73.601185)"
Nassau,11791,VILLAGE SCHOOL,Public School,No,83.0,2.0,83.0,2.0,"(40.715749, -73.601185)"
Nassau,11793,(LEAD ONLY) NASSAU BOCES ROSEMARY KENNEDY CENTER,BOCES School,No,198.0,11.0,198.0,11.0,"(40.715749, -73.601185)"
Nassau,11793,FOREST LAKE SCHOOL,Public School,No,39.0,1.0,39.0,1.0,"(40.715749, -73.601185)"
Nassau,11793,MANDALAY ELEM SCHOOL,Public School,No,42.0,1.0,42.0,1.0,"(40.715749, -73.601185)"
Nassau,11793,WANTAGH MIDDLE SCHOOL,Public School,No,52.0,1.0,52.0,1.0,"(40.715749, -73.601185)"
Nassau,11793,WANTAGH S H S,Public School,No,58.0,4.0,58.0,4.0,"(40.715749, -73.601185)"
Nassau,11793,WANTAGH SCHOOL,Public School,No,68.0,1.0,68.0,1.0,"(40.715749, -73.601185)"
Nassau,11797,WALT WHITMAN SCHOOL,Public School,No,50.0,9.0,50.0,9.0,"(40.715749, -73.601185)"
Nassau,11801,BURNS AVENUE SCHOOL,Public School,No,47.0,1.0,47.0,1.0,"(40.715749, -73.601185)"
Nassau,11801,DUTCH LANE SCHOOL,Public School,No,48.0,1.0,48.0,1.0,"(40.715749, -73.601185)"
Nassau,11801,FORK LANE SCHOOL,Public School,No,42.0,5.0,42.0,5.0,"(40.715749, -73.601185)"
Nassau,11801,HICKSVILLE H S,Public School,No,115.0,2.0,115.0,2.0,"(40.715749, -73.601185)"
Nassau,11801,HICKSVILLE MIDDLE SCHOOL,Public School,No,93.0,0.0,93.0,0.0,"(40.715749, -73.601185)"
Nassau,11801,OLD COUNTRY ROAD SCHOOL,Public School,No,46.0,0.0,46.0,0.0,"(40.715749, -73.601185)"
Nassau,11801,WOODLAND SCHOOL,Public School,No,52.0,0.0,52.0,0.0,"(40.715749, -73.601185)"
Nassau,11803,H B MATTLIN MIDDLE SCHOOL,Public School,No,99.0,13.0,99.0,13.0,"(40.715749, -73.601185)"
Nassau,11803,KRAMER E S,Public School,No,46.0,1.0,46.0,1.0,"(40.715749, -73.601185)"
Nassau,11803,PARKWAY SCHOOL,Public School,No,78.0,1.0,78.0,1.0,"(40.715749, -73.601185)"
Nassau,11803,PASADENA ELEMENTARY SCHOOL,Public School,No,67.0,3.0,67.0,3.0,"(40.715749, -73.601185)"
Nassau,11803,PLAINVIEW OLD BETHPAGE JOHN F KENNEDY HS,Public School,No,101.0,5.0,101.0,5.0,"(40.715749, -73.601185)"
Nassau,11803,PLAINVIEW-OLD BETHPAGE MID SCH,Public School,No,107.0,7.0,107.0,7.0,"(40.715749, -73.601185)"
Nassau,11803,STRATFORD ROAD SCHOOL,Public School,No,130.0,3.0,130.0,3.0,"(40.715749, -73.601185)"
Nassau,11804,OLD BETHPAGE SCHOOL,Public School,No,66.0,1.0,66.0,1.0,"(40.715749, -73.601185)"
New York,10001,M033,Public School,No,166.0,0.0,166.0,0.0,"(40.749014, -74.000238)"
New York,10001,M920,Public School,No,34.0,0.0,34.0,0.0,"(40.747425, -73.990562)"
New York,10002,M002,Public School,No,156.0,0.0,156.0,0.0,"(40.712907, -73.991523)"
New York,10002,M020,Public School,No,139.0,0.0,139.0,0.0,"(40.721305, -73.986312)"
New York,10002,M022,Public School,No,116.0,0.0,116.0,0.0,"(40.719416, -73.979581)"
New York,10002,M025,Public School,No,113.0,0.0,113.0,0.0,"(40.720040, -73.986038)"
New York,10002,M042,Public School,No,61.0,0.0,61.0,0.0,"(40.716126, -73.990826)"
New York,10002,M056,Public School,No,123.0,0.0,123.0,0.0,"(40.713362, -73.986051)"
New York,10002,M097,Public School,No,60.0,0.0,60.0,0.0,"(40.718276, -73.976093)"
New York,10002,M110,Public School,No,65.0,0.0,65.0,0.0,"(40.716200, -73.979800)"
New York,10002,M124,Public School,No,150.0,0.0,150.0,0.0,"(40.715097, -73.996017)"
New York,10002,M131,Public School,No,180.0,0.0,180.0,0.0,"(40.716231, -73.993607)"
New York,10002,M134,Public School,No,136.0,0.0,136.0,0.0,"(40.714248, -73.983854)"
New York,10002,M137,Public School,No,135.0,0.0,135.0,0.0,"(40.711125, -73.985438)"
New York,10002,M140,Public School,No,120.0,0.0,120.0,0.0,"(40.719148, -73.983769)"
New York,10002,M142,Public School,No,121.0,0.0,121.0,0.0,"(40.718121, -73.984116)"
New York,10002,M188,Public School,No,96.0,0.0,96.0,0.0,"(40.719888, -73.977380)"
New York,10002,M445,Public School,No,134.0,0.0,134.0,0.0,"(40.717329, -73.989329)"
New York,10002,M446,Public School,No,37.0,0.0,37.0,0.0,"(40.712269, -73.984128)"
New York,10002,M447,Public School,No,1.0,0.0,1.0,0.0,"(40.717329, -73.989329)"
New York,10002,M510,Public School,No,61.0,0.0,61.0,0.0,"(40.722415, -73.990468)"
New York,10003,M019,Public School,No,97.0,0.0,97.0,0.0,"(40.730009, -73.984496)"
New York,10003,M040,Public School,No,92.0,0.0,92.0,0.0,"(40.735328, -73.981536)"
New York,10003,M460,Public School,No,211.0,0.0,211.0,0.0,"(40.735361, -73.987064)"
New York,10003,M475,Public School,No,119.0,0.0,119.0,0.0,"(40.732665, -73.982590)"
New York,10003,M661,Public School,No,34.0,0.0,34.0,0.0,"(40.732699, -73.984333)"
New York,10003,M751,Public School,No,37.0,0.0,37.0,0.0,"(40.725892, -73.987791)"
New York,10003,M868,Public School,Yes,135.0,0.0,135.0,0.0,"(40.736526, -73.992727)"
New York,10003,M905,Public School,No,19.0,0.0,19.0,0.0,"(40.738521, -73.989481)"
New York,10004,M282,Public School,No,199.0,0.0,199.0,0.0,"(40.705688, -74.013303)"
New York,10004,M877,Public School,No,63.0,0.0,63.0,0.0,"(40.689493, -74.018941)"
New York,10006,M833,Public School,No,73.0,0.0,73.0,0.0,"(40.709270, -74.012328)"
New York,10006,M894,Public School,No,94.0,0.0,94.0,0.0,"(40.708971, -74.012465)"
New York,10007,M234,Public School,No,115.0,0.0,115.0,0.0,"(40.71953, -74.01088)"
New York,10009,M015,Public School,No,78.0,0.0,78.0,0.0,"(40.722075, -73.978747)"
New York,10009,M034,Public School,No,91.0,0.0,91.0,0.0,"(40.726008, -73.975058)"
New York,10009,M060,Public School,No,82.0,0.0,82.0,0.0,"(40.729152, -73.982472)"
New York,10009,M061,Public School,No,91.0,0.0,91.0,0.0,"(40.727537, -73.978254)"
New York,10009,M063,Public School,No,72.0,0.0,72.0,0.0,"(40.72444, -73.986214)"
New York,10009,M064,Public School,No,119.0,0.0,119.0,0.0,"(40.72313, -73.981597)"
New York,10010,M047,Public School,No,192.0,0.0,192.0,0.0,"(40.738374, -73.981329)"
New York,10010,M104,Public School,No,89.0,0.0,89.0,0.0,"(40.735879, -73.981034)"
New York,10010,M844,Public School,No,56.0,0.0,56.0,0.0,"(40.736999, -73.978085)"
New York,10010,M874,Public School,No,45.0,0.0,45.0,0.0,"(40.741888, -73.985723)"
New York,10011,M011,Public School,No,88.0,0.0,88.0,0.0,"(40.744186, -74.000743)"
New York,10011,M041,Public School,No,128.0,0.0,128.0,0.0,"(40.73545, -73.999094)"
New York,10011,M070,Public School,No,133.0,0.0,133.0,0.0,"(40.742512, -74.002222)"
New York,10011,M440,Public School,No,112.0,0.0,112.0,0.0,"(40.743407, -74.002540)"
New York,10011,M451,Public School,No,57.0,0.0,57.0,0.0,"(40.741820, -74.000238)"
New York,10011,M600,Public School,No,336.0,0.0,336.0,0.0,"(40.745677, -73.996354)"
New York,10011,M883,Public School,No,25.0,0.0,25.0,0.0,"(40.736416, -73.995731)"
New York,10013,M130,Public School,No,153.0,0.0,153.0,0.0,"(40.718660, -73.998326)"
New York,10013,M615,Public School,No,64.0,0.0,64.0,0.0,"(40.724630, -74.005058)"
New York,10013,M840,Public School,No,41.0,0.0,41.0,0.0,"(40.719530, -74.010880)"
New York,10014,M003,Public School,No,62.0,0.0,62.0,0.0,"(40.732603, -74.005949)"
New York,10014,M641,Public School,No,94.0,0.0,94.0,0.0,"(40.729052, -74.006155)"
New York,10016,M116,Public School,No,85.0,0.0,85.0,0.0,"(40.744511, -73.977906)"
New York,10016,M620,Public School,No,185.0,0.0,185.0,0.0,"(40.746510, -73.981070)"
New York,10018,M827,Public School,No,23.0,0.0,23.0,0.0,"(40.753038, -73.992405)"
New York,10019,M058,Public School,No,84.0,0.0,84.0,0.0,"(40.764129, -73.985899)"
New York,10019,M111,Public School,No,139.0,0.0,139.0,0.0,"(40.765880, -73.989776)"
New York,10019,M488,Public School,No,420.0,0.0,420.0,0.0,"(40.759248, -73.967204)"
New York,10019,M535,Public School,No,286.0,0.0,286.0,0.0,"(40.765474, -73.992700)"
New York,10019,M625,Public School,No,119.0,0.0,119.0,0.0,"(40.763655, -73.990318)"
New York,10019,M834,Public School,No,166.0,0.0,166.0,0.0,"(40.767848, -73.988610)"
New York,10021,M167,Public School,No,87.0,0.0,87.0,0.0,"(40.771541, -73.957827)"
New York,10021,M855,Public School,No,74.0,0.0,74.0,0.0,"(40.770288, -73.953276)"
New York,10023,M191,Public School,No,137.0,0.0,137.0,0.0,"(40.771603, -73.987515)"
New York,10023,M199,Public School,No,123.0,0.0,123.0,0.0,"(40.777603, -73.984423)"
New York,10023,M342,Public School,No,139.0,0.0,139.0,0.0,"(40.772200, -73.990902)"
New York,10023,M485,Public School,No,229.0,0.0,229.0,0.0,"(40.774202, -73.985976)"
New York,10023,M490,Public School,No,204.0,0.0,204.0,0.0,"(40.774891, -73.985608)"
New York,10023,M837,Public School,No,75.0,0.0,75.0,0.0,"(40.772608, -73.988338)"
New York,10023,M932,Public School,No,56.0,0.0,56.0,0.0,"(40.775256, -73.982976)"
New York,10024,M009,Public School,No,115.0,0.0,115.0,0.0,"(40.785234, -73.974256)"
New York,10024,M044,Public School,No,101.0,0.0,101.0,0.0,"(40.780536, -73.977602)"
New York,10024,M087,Public School,No,183.0,0.0,183.0,0.0,"(40.78171, -73.97802)"
New York,10024,M166,Public School,No,146.0,0.0,146.0,0.0,"(40.788925, -73.972557)"
New York,10024,M470,Public School,No,170.0,0.0,170.0,0.0,"(40.786134, -73.974483)"
New York,10024,M841,Public School,No,68.0,0.0,68.0,0.0,"(40.786330, -73.979217)"
New York,10025,M054,Public School,No,109.0,0.0,109.0,0.0,"(40.800700, -73.963270)"
New York,10025,M075,Public School,No,145.0,0.0,145.0,0.0,"(40.795109, -73.973996)"
New York,10025,M084,Public School,No,127.0,0.0,127.0,0.0,"(40.789479, -73.968419)"
New York,10025,M118,Public School,No,124.0,0.0,124.0,0.0,"(40.791395, -73.971011)"
New York,10025,M145,Public School,No,166.0,0.0,166.0,0.0,"(40.799098, -73.965611)"
New York,10025,M163,Public School,No,109.0,0.0,109.0,0.0,"(40.795163, -73.96847)"
New York,10025,M165,Public School,No,79.0,0.0,79.0,0.0,"(40.802653, -73.965949)"
New York,10026,M088,Public School,No,182.0,0.0,182.0,0.0,"(40.80261, -73.954152)"
New York,10026,M113,Public School,No,119.0,0.0,119.0,0.0,"(40.801573, -73.955583)"
New York,10026,M149,Public School,No,170.0,0.0,170.0,0.0,"(40.802649, -73.948088)"
New York,10026,M185,Public School,No,86.0,0.0,86.0,0.0,"(40.798461, -73.950146)"
New York,10026,M208,Public School,No,117.0,0.0,117.0,0.0,"(40.798461, -73.950146)"
New York,10027,M036,Public School,No,104.0,0.0,104.0,0.0,"(40.810705, -73.957409)"
New York,10027,M043,Public School,No,72.0,0.0,72.0,0.0,"(40.815747, -73.955520)"
New York,10027,M076,Public School,No,134.0,0.0,134.0,0.0,"(40.806534, -73.951451)"
New York,10027,M081,Public School,No,62.0,0.0,62.0,0.0,"(40.805906, -73.951910)"
New York,10027,M125,Public School,No,145.0,0.0,145.0,0.0,"(40.810793, -73.955722)"
New York,10027,M129,Public School,No,136.0,0.0,136.0,0.0,"(40.814914, -73.952020)"
New York,10027,M144,Public School,No,135.0,0.0,135.0,0.0,"(40.806055, -73.948385)"
New York,10027,M154,Public School,No,161.0,0.0,161.0,0.0,"(40.810499, -73.948902)"
New York,10027,M161,Public School,No,139.0,0.0,139.0,0.0,"(40.817719, -73.952476)"
New York,10027,M180,Public School,No,150.0,0.0,150.0,0.0,"(40.807570, -73.955861)"
New York,10027,M195,Public School,No,116.0,0.0,116.0,0.0,"(40.819793, -73.956814)"
New York,10027,M223,Public School,No,28.0,0.0,28.0,0.0,"(40.816626, -73.951292)"
New York,10027,M280,Public School,No,59.0,0.0,59.0,0.0,"(40.806262, -73.943951)"
New York,10027,M389,Public School,No,25.0,0.0,25.0,0.0,"(40.816158, -73.95357)"
New York,10027,M484,Public School,No,22.0,0.0,22.0,0.0,"(40.814020, -73.946027)"
New York,10028,M006,Public School,No,133.0,0.0,133.0,0.0,"(40.777737, -73.960427)"
New York,10028,M190,Public School,No,40.0,0.0,40.0,0.0,"(40.775181, -73.952777)"
New York,10029,M013,Public School,No,142.0,0.0,142.0,0.0,"(40.793649, -73.948488)"
New York,10029,M050,Public School,No,161.0,0.0,161.0,0.0,"(40.785559, -73.940919)"
New York,10029,M057,Public School,No,146.0,0.0,146.0,0.0,"(40.797205, -73.941598)"
New York,10029,M083,Public School,No,86.0,0.0,86.0,0.0,"(40.793363, -73.941955)"
New York,10029,M099,Public School,No,102.0,0.0,102.0,0.0,"(40.785107, -73.942154)"
New York,10029,M102,Public School,No,81.0,0.0,81.0,0.0,"(40.795, -73.938418)"
New York,10029,M107,Public School,No,28.0,0.0,28.0,0.0,"(40.791966, -73.946879)"
New York,10029,M108,Public School,No,107.0,0.0,107.0,0.0,"(40.795032, -73.947855)"
New York,10029,M117,Public School,No,149.0,0.0,149.0,0.0,"(40.792556, -73.942285)"
New York,10029,M121,Public School,No,87.0,0.0,87.0,0.0,"(40.788668, -73.944762)"
New York,10029,M146,Public School,No,154.0,0.0,154.0,0.0,"(40.789535, -73.938727)"
New York,10029,M171,Public School,No,107.0,0.0,107.0,0.0,"(40.792302, -73.951425)"
New York,10029,M435,Public School,No,206.0,0.0,206.0,0.0,"(40.794184, -73.932868)"
New York,10029,M495,Public School,No,28.0,0.0,28.0,0.0,"(40.790191, -73.944092)"
New York,10029,M522,Public School,No,21.0,0.0,21.0,0.0,"(40.792928, -73.939977)"
New York,10029,M895,Public School,No,38.0,0.0,38.0,0.0,"(40.792932, -73.947171)"
